eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Tourmaline Hz Minehead/Ansell,Business Unit,Canada,,,,,,
111003,,Pumper Base Charge,1,0,Included,Included,0.68182,4500,4500,,,Yes
111380,#N/A,Pumper Unit Travel,1,235,Included,Included,0.68182,8.3,1950.5,,,Yes
111382,,Pickup Travel,1,235,Included,Included,0.68182,3.9,916.5,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,2400,,4567.2,#VALUE!,#VALUE!,#VALUE!,4
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,25,0,120,3000,0.73702,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,3000,,0,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush/Spacers,#N/A,0,0,0,0,0,0.7,0,0,0,,
113180,#N/A,Visweep,3,0,270,810,0.62759,725,2175,1365,,
Cement,#N/A,0,0,0,0,0,0.7,0,0,0,,
116114,#N/A,SURFACEmix LW PRO + Additives,24.5,0,410,10045,0.6469168,POR,#VALUE!,#VALUE!,,
116016,#N/A,SURFACEmix LW PRO,24,0,Included,Included,0.6469168,1035,24840,,,Yes
113306,,SCA-6,240,0,Included,Included,0.6469168,6.9,1656,,,Yes
113307,,SCA-7,240,0,Included,Included,0.6469168,2.25,540,,,Yes
113267,,CDF-6P,48,0,Included,Included,0.6469168,28,1344,,,Yes
Wet Shoe,#N/A,0,0,0,0,0,0,0,0,0,,
Displacement,#N/A,0,0,0,0,0,0,0,0,0,,
Plugs,#N/A,0,0,0,0,0,0,0,0,0,,
116281,,"244.5mm (9.625"") Rubber PDC Drillable Top Cementing Plug",1,0,300,300,0.52,625,625,325,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,11155,,2422.15,#VALUE!,#VALUE!,#VALUE!,4
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Miscellaneous Items,,,,,,,,,,
Bundle Category,,Miscellaneous Items,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111488,*,Bulk Storage - Bin Rental,1,,100,100,0,570,570,470,,
113248,,LCC-1 Lost Circulation Composite,479,,2.75,1317.25,0.56349,6.3,3017.7,1700.45,,
Supplementary Materials and/or Services,#N/A,0,0,0,0,0,0,0,0,0,,
111392,*,Single Cement Pump - Additional Location Time,0,0,880,0,0,880,,,,
111395,#N/A,Twin Cement Pump Additional Location Time,0,0,1025,0,0,1025,,,,
111352,*,5 or 6 Axle Bulker - Additional Location Time,0,0,395,0,0,395,,,,
111489,*,Bulk Storage - Bin Cartage,0,0,295,0,0,295,,,,
113250,,LCF-7 Lost Circulation Fibers,0,0,41.2,0,0.52644,87,,,,
113262,,CDF-3L Liquid Cement Defoamer,0,0,23,0,0.55769,52,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,1417.25,,3310.3,3587.7,2170.45,0.605,0
Template Job Type,,Casing Template #2,,,,,,,,,,
Job Type,,Intermediate Casing,4,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,22576.45,,
Job Type ID,,1505,Depth Base Charge,2127,,,Stage / Plug Treatment Information Type,Stage,Execution Order,46,,
,,,Risk Matrix,36,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (8 hours),1,0,3500,3500,0.71504,POR,#VALUE!,#VALUE!,,
111010,,Pumper Base Charge,1,0,Included,Included,0.71504,7375,7375,,,Yes
111380,#N/A,Pumper Unit Travel,1,235,Included,Included,0.71504,8.3,1950.5,,,Yes
111382,,Pickup Travel,1,235,Included,Included,0.71504,3.9,916.5,,,Yes
116026,,Twin Pumping Unit Surcharge,1,0,Included,Included,0.71504,1843.75,1843.75,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,3500,,9285.95,#VALUE!,#VALUE!,#VALUE!,5
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,26.3,0,120,3156,0.73702,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,3156,,,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush and Spacers,#N/A,0,0,0,0,0,0,0,0,0,,
113180,#N/A,Visweep,1,0,270,270,0.62759,725,725,455,,
113180,#N/A,Visweep,2,0,270,540,0.62759,725,1450,910,,
113306,,SCA-6,200,0,2.5,500,0.63768,6.9,1380,880,,
113250,,LCF-7,2,0,41.2,82.4,0.52644,87,174,91.6,,
113180,#N/A,Visweep,1,0,270,270,0.62759,725,725,455,,
113250,,LCF-7,1,0,41.2,41.2,0.52644,87,87,45.8,,
Lead Cement,#N/A,0,0,0,0,0,0,0,0,0,,
116476,*,ECOlite 1325 + Additives,20.1,0,480,9648,0.70839,POR,#VALUE!,#VALUE!,,
116475,,ECOlite 1325,19.8,0,Included,Included,0.70839,1375,27225,,,Yes
113306,,SCA-6,70,0,Included,Included,0.70839,6.9,483,,,Yes
113307,,SCA-7,90,0,Included,Included,0.70839,2.25,202.5,,,Yes
113127,,MCR-7,50,0,Included,Included,0.70839,8.9,445,,,Yes
113414,,ASM-3,50,0,Included,Included,0.70839,55,2750,,,Yes
113267,,CDF-6P,70,0,Included,Included,0.70839,28,1960,,,Yes
Tail Cement,#N/A,0,0,0,0,0,0,0,0,0,,
116466,*,ECOprime + Additives,6,0,480,2880,0.73951,POR,#VALUE!,#VALUE!,,
116465,,ECOprime,5.78,0,Included,Included,0.73951,970,5606.6,,,Yes
113163,,CFR-5,6,0,Included,Included,0.73951,100,600,,,Yes
113132,,CFL-3,35,0,Included,Included,0.73951,67,2345,,,Yes
113306,,SCA-6,24,0,Included,Included,0.73951,6.9,165.6,,,Yes
113307,,SCA-7,29,0,Included,Included,0.73951,2.25,65.25,,,Yes
113127,,MCR-7,6,0,Included,Included,0.73951,8.9,53.4,,,Yes
113140,,FWC-2,58,0,Included,Included,0.73951,11.3,655.4,,,Yes
113414,,ASM-3,18,0,Included,Included,0.73951,55,990,,,Yes
113267,,CDF-6P,18,0,Included,Included,0.73951,28,504,,,Yes
Wet Shoe,#N/A,0,0,0,0,0,0,0,0,0,,
Displacement,#N/A,0,0,0,0,0,0,0,0,0,,
Plugs,#N/A,0,,0,0,0,0,0,#VALUE!,#VALUE!,,
116278,,"177.8 mm (7.0"") Rubber PDC Drillable Top Cementing Plug",1,0,300,300,0.4957983,595,595,295,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,14531.6,,,#VALUE!,#VALUE!,#VALUE!,15
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Miscellaneous Items,,,,,,,,,,
Bundle Category,,Miscellaneous Items,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111488,*,Bulk Storage - Bin Rental,1,,100,100,0,570,570,470,,
113248,,LCC-1 Lost Circulation Composite,199,,2.75,547.25,0.5634921,6.3,#VALUE!,#VALUE!,,
113250,,LCF-7 Lost Circulation Fibers,18,,41.2,741.6,0.5264368,87,#VALUE!,#VALUE!,,
Supplementary Materials and/or Services,#N/A,0,0,0,0,0,0,0,0,0,,
111392,*,Single Cement Pump - Additional Location Time,0,0,880,0,0.7,880,0,0,,
111395,#N/A,Twin Cement Pump Additional Location Time,0,0,1025,0,0.7,1025,0,0,,
111352,*,5 or 6 Axle Bulker - Additional Location Time,0,0,395,0,0.7,395,0,0,,
111489,*,Bulk Storage - Bin Cartage,0,0,295,0,0.7,295,0,0,,
113262,,CDF-3L Liquid Cement Defoamer,0,0,23,0,0.5576923,52,0,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,0,,0,0,0,0,0
,,,,,,,,,,,,
Template Job Type,,2 Stage Template #1,,,,,,,,,,
Job Type,,2-Stage Production,10,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,29584.3,,
Job Type ID,,1508,Depth Base Charge,3075,,,Stage / Plug Treatment Information Type,Stage,Execution Order,49,,
,,,Risk Matrix,70.5,,,# of Stages,2,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,,Pumping Service: Cementing Base Charge (8 hours),1,0,4000,4000,0.75764,POR,#VALUE!,#VALUE!,,
111015,,Pumper Base Charge,1,0,Included,Included,0.75764,10725,10725,,,Yes
111380,,Pumper Unit Travel,1,235,Included,Included,0.75764,8.3,1950.5,,,Yes
111382,,Pickup Travel,1,235,Included,Included,0.75764,3.9,916.5,,,Yes
116026,,Twin Pumping Unit Surcharge,1,0,Included,Included,0.75764,2681.25,2681.25,,,Yes
111493,,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,4000,,13473.45,#VALUE!,#VALUE!,#VALUE!,5
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,32.7,0,120,3924,0.73708,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,3924,,,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush and Spacers,,0,0,0,0,0,0,0,,,,
113180,,Visweep,2.5,0,270,675,0.62759,725,1812.5,1137.5,,
113125,,MCR-9L,60,0,12.5,750,0.51923,26,1560,810,,
114194,,ACW-4,20,0,13.25,265,0.52679,28,,,,
113255,,DF-1,4,0,19.25,77,0.57877,45.7,182.8,105.8,,
113181,,Water Wet Max,3,0,400,1200,0.66667,1200,3600,2400,,
113206,,WG-3L,36,0,24,864,0.67568,74,2664,1800,,
113250,,LCF-7,3,0,41.2,123.6,0.52644,87,261,137.4,,
Stage II Lead Cement,,0,0,0,0,0,0,0,0,0,,
116466,,ECOprime + Additives,23.4,0,460,10764,0.6977522,POR,#VALUE!,#VALUE!,,
116465,,ECOprime,22.28,0,Included,Included,0.6977522,970,21611.6,,,Yes
113306,,SCA-6,112,0,Included,Included,0.6977522,6.9,772.8,,,Yes
113307,,SCA-7,112,0,Included,Included,0.6977522,2.25,252,,,Yes
113127,,MCR-7,78,0,Included,Included,0.6977522,8.9,694.2,,,Yes
113139,,GSS-1,669,0,Included,Included,0.6977522,6.3,,,,
113414,,ASM-3,112,0,Included,Included,0.6977522,55,6160,,,Yes
113267,,CDF-6P,67,0,Included,Included,0.6977522,28,1876,,,Yes
Stage II Tail Cement,,0,0,0,0,0,0,0,0,0,,
116466,,ECOprime + Additives,6.9,0,510,3519,0.7359412,POR,#VALUE!,#VALUE!,,
116465,,ECOprime,6.61,0,Included,Included,0.7359412,970,6411.7,,,Yes
113132,,CFL-3,53,0,Included,Included,0.7359412,67,3551,,,Yes
113306,,SCA-6,34,0,Included,Included,0.7359412,6.9,234.6,,,Yes
113307,,SCA-7,34,0,Included,Included,0.7359412,2.25,76.5,,,Yes
113127,,MCR-7,17,0,Included,Included,0.7359412,8.9,151.3,,,Yes
113140,,FWC-2,67,0,Included,Included,0.7359412,11.3,757.1,,,Yes
113414,,ASM-3,27,0,Included,Included,0.7359412,55,,,,Yes
113267,,CDF-6P,20,0,Included,Included,0.7359412,28,,,,Yes
Displacement Stage II,,0,0,0,0,0,0,0,0,0,,
113125,,MCR-9L,45,0,12.5,562.5,0.51923,26,1170,607.5,,
114194,,ACW-4,15,0,13.25,198.75,0.52679,28,420,221.25,,
113255,,DF-1,3,0,19.25,57.75,0.57877,45.7,137.1,79.35,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,19056.6,,,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Miscellaneous Items,,,,,,,,,,
Bundle Category,,Miscellaneous Items,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),295,,,,
Pricing Method,,Details,,,Summary Pricing,,/ 1 Job(s),6.3,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),87,,,,
