eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,Certus 102 HZ Caroline,Business Unit,Canada,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,21.3,0,100,2130,0.6,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,2130,,0,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush/Spacers,#N/A,0,0,0,0,0,0.6,0,0,0,,
Cement,#N/A,0,0,0,0,0,0.6,0,0,0,,
113452,#N/A,SURFACEmix LW PRO RD + Additives,21.3,0,510,10863,0.559386,POR,#VALUE!,#VALUE!,,
113451,#N/A,SURFACEmix LW PRO RD,20.9,0,Included,Included,0.559386,1050,21945,,,Yes
113306,,SCA-6,157,0,Included,Included,0.559386,6.9,1083.3,,,Yes
113307,,SCA-7,157,0,Included,Included,0.559386,2.25,353.25,,,Yes
113267,,CDF-6P,42,0,Included,Included,0.559386,28,1176,,,Yes
Wet Shoe,#N/A,0,0,0,0,0,0,0,0,0,,
Displacement,#N/A,0,0,0,0,0,0,0,0,0,,
Plugs,#N/A,0,0,0,0,0,0,0,0,0,,
116281,,"244.5mm (9.625"") Rubber PDC Drillable Top Cementing Plug",1,0,250,250,0.6,625,625,375,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,11113,,1712.15,#VALUE!,#VALUE!,#VALUE!,4
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Miscellaneous Items,,,,,,,,,,
Bundle Category,,Miscellaneous Items,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Supplementary Materials and/or Services,#N/A,0,0,0,0,0,0,0,0,0,,
111392,*,Single Cement Pump - Additional Location Time,0,0,880,0,0,880,0,0,,
111395,#N/A,Twin Cement Pump Additional Location Time,0,0,1025,0,0,1025,0,0,,
111352,*,5 or 6 Axle Bulker - Additional Location Time,0,0,395,0,0,395,,,,
111488,*,Bulk Storage - Bin Rental,0,0,570,0,0,570,,,,
111489,*,Bulk Storage - Bin Cartage,0,0,295,0,0,295,,,,
113250,,LCF-7 Lost Circulation Fibers,0,0,52.2,0,0.4,87,,,,
113262,,CDF-3L Liquid Cement Defoamer,0,0,31.2,0,0.4,52,,,,
111167,*,Plug Loading Cement Head Rental,0,0,250,0,0,POR,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,0,,3304,0,0,0,0
Template Job Type,,Casing Template #2,,,,,,,,,,
Job Type,,Intermediate Casing,4,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,32456.5,,
Job Type ID,,1505,Depth Base Charge,2100,,,Stage / Plug Treatment Information Type,Stage,Execution Order,45,,
,,,Risk Matrix,52.5,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,4190,4190,0.6,POR,#VALUE!,#VALUE!,,
111010,,Pumper Base Charge,1,0,Included,Included,0.6,9175,9175,,,Yes
111380,#N/A,Pumper Unit Travel,1,95,Included,Included,0.6,8.3,788.5,,,Yes
111382,,Pickup Travel,1,95,Included,Included,0.6,3.9,370.5,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,4190,,9242.2,#VALUE!,#VALUE!,#VALUE!,4
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,34.1,0,100,3410,0.59127,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,3410,,,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush and Spacers,#N/A,0,0,0,0,0,0,0,0,0,,
113181,#N/A,Water Wet Max,3,0,480,1440,0.6,1200,3600,2160,,
113206,#N/A,WG-3L,30,0,29.6,888,0.6,74,2220,1332,,
Lead Cement,#N/A,0,0,0,0,0,0,0,0,0,,
116476,*,ECOlite 1325 + Additives,18.4,0,665,12236,0.59791,POR,#VALUE!,#VALUE!,,
116475,,ECOlite 1325,18.1,0,Included,Included,0.59791,1375,24887.5,,,Yes
113306,,SCA-6,64,0,Included,Included,0.59791,6.9,441.6,,,Yes
113307,,SCA-7,64,0,Included,Included,0.59791,2.25,144,,,Yes
113127,,MCR-7,100,0,Included,Included,0.59791,8.9,890,,,Yes
113414,,ASM-3,46,0,Included,Included,0.59791,55,2530,,,Yes
113267,,CDF-6P,55,0,Included,Included,0.59791,28,1540,,,Yes
Tail Cement,#N/A,0,0,0,0,0,0,0,0,0,,
116466,*,ECOprime + Additives,15.7,0,625,9812.5,0.66768,POR,#VALUE!,#VALUE!,,
116465,,ECOprime,15.14,0,Included,Included,0.66768,970,14685.8,,,Yes
113132,,CFL-3,122,0,Included,Included,0.66768,67,8174,,,Yes
113127,,MCR-7,38,0,Included,Included,0.66768,8.9,338.2,,,Yes
113306,,SCA-6,84,0,Included,Included,0.66768,6.9,579.6,,,Yes
113307,,SCA-7,84,0,Included,Included,0.66768,2.25,189,,,Yes
113140,,FWC-2,152,0,Included,Included,0.66768,11.3,1717.6,,,Yes
113414,,ASM-3,46,0,Included,Included,0.66768,55,2530,,,Yes
113267,,CDF-6P,46,0,Included,Included,0.66768,28,1288,,,Yes
Wet Shoe,#N/A,0,0,0,0,0,0,0,0,0,,
Displacement,#N/A,0,0,0,0,0,0,0,0,0,,
Plugs,#N/A,0,,0,0,0,0,0,#VALUE!,#VALUE!,,
116287,,"177.8 mm (7.0"") Rubber PDC Drillable Bottom Cementing Plug",1,0,240,240,0.5966387,595,595,355,,
116278,,"177.8 mm (7.0"") Rubber PDC Drillable Top Cementing Plug",1,0,240,240,0.5966387,595,595,355,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,24856.5,,,#VALUE!,#VALUE!,#VALUE!,14
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Miscellaneous Items,,,,,,,,,,
Bundle Category,,Miscellaneous Items,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Supplementary Materials and/or Services,#N/A,0,0,0,0,0,0,0,0,0,,
111392,*,Single Cement Pump - Additional Location Time,0,0,880,0,0,880,0,0,,
111395,#N/A,Twin Cement Pump Additional Location Time,0,0,1025,0,0,1025,0,0,,
111352,*,5 or 6 Axle Bulker - Additional Location Time,0,0,395,0,0,395,0,0,,
111488,*,Bulk Storage - Bin Rental,0,0,570,0,0,570,0,0,,
111489,*,Bulk Storage - Bin Cartage,0,0,295,0,0,295,0,0,,
113250,,LCF-7 Lost Circulation Fibers,0,0,52.2,0,0.4,87,0,0,,
113262,,CDF-3L Liquid Cement Defoamer,0,0,31.2,0,0.4,52,0,0,,
111167,*,Plug Loading Cement Head Rental,0,0,250,0,,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,0,,0,0,0,0,0
,,,,,,,,,,,,
Template Job Type,,Casing Template #3,,,,,,,,,,
Job Type,,Production Casing,5,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,60798,,
Job Type ID,,1506,Depth Base Charge,5800,,,Stage / Plug Treatment Information Type,Stage,Execution Order,46,,
,,,Risk Matrix,73.5,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,,Pumping Service: Cementing Base Charge (6 hours),1,0,7500,7500,0.81173,POR,#VALUE!,#VALUE!,,
111028,,Pumper Base Charge,1,0,Included,Included,0.81173,30700,30700,,,Yes
111380,,Pumper Unit Travel,1,95,Included,Included,0.81173,8.3,788.5,,,Yes
111382,,Pickup Travel,1,95,Included,Included,0.81173,3.9,370.5,,,Yes
116026,,Twin Pumping Unit Surcharge,1,0,Included,Included,0.81173,7675,7675,,,Yes
111493,,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,7500,,38442.2,#VALUE!,#VALUE!,#VALUE!,5
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,64.4,0,100,6440,0.59187,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,6440,,,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush/Spacers,,0,0,0,0,0,0,0,,,,
113181,,Water Wet Max,4,0,480,1920,0.6,1200,4800,2880,,
113206,,WG-3L,40,0,29.6,1184,0.6,74,2960,1776,,
Lead Cement,,0,0,0,0,0,0,0,,,,
116480,,ECOlite 1400 + Additives,17.2,0,575,9890,0.59959,POR,#VALUE!,#VALUE!,,
116479,,ECOlite 1400,16.9,0,Included,Included,0.59959,1160,19604,,,Yes
113306,,SCA-6,43,0,Included,Included,0.59959,6.9,296.7,,,Yes
113307,,SCA-7,43,0,Included,Included,0.59959,2.25,96.75,,,Yes
113127,,MCR-7,93,0,Included,Included,0.59959,8.9,827.7,,,Yes
113414,,ASM-3,43,0,Included,Included,0.59959,55,2365,,,Yes
113267,,CDF-6P,51,0,Included,Included,0.59959,28,1428,,,Yes
Tail Cement,,0,0,0,0,0,0,0,0,0,,
113315,,ASC IV + Additives,47,0,650,30550,0.7415059,POR,#VALUE!,#VALUE!,,
113314,,ASC IV,45.15,0,Included,Included,0.7415059,1535,69305.25,,,Yes
113146,,CFL-11,317,0,Included,Included,0.7415059,82.5,,,,
113110,,LTR,271,0,Included,Included,0.7415059,13.75,3726.25,,,Yes
113140,,FWC-2,903,0,Included,Included,0.7415059,11.3,10203.9,,,Yes
113414,,ASM-3,68,0,Included,Included,0.7415059,55,3740,,,Yes
113306,,SCA-6,113,0,Included,Included,0.7415059,6.9,779.7,,,Yes
113267,,CDF-6P,136,0,Included,Included,0.7415059,28,3808,,,Yes
Displacment,,0,0,0,0,0,0,0,0,0,,
113125,,MCR-9L,200,0,10.4,2080,0.6,26,5200,3120,,
114202,,Bio-10B,50,0,18.28,914,0.6,45.7,2285,1371,,
Plugs,,0,0,0,0,0,0,0,0,0,,
116284,,"114.3 mm (4.5"") Rubber PDC Drillable Bottom Cementing Plug",1,0,160,160,0.59494,395,395,235,,
116275,,"114.3 mm (4.5"") Rubber PDC Drillable Top Cementing Plug",1,0,160,160,0.59494,395,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,46858,,,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Miscellaneous Items,,,,,,,,,,
Bundle Category,,Miscellaneous Items,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),570,,,,
Pricing Method,,Details,,,Summary Pricing,,/ 1 Job(s),295,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),87,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),52,,,,
Bundle Code,,,,,,,,POR,,,,
,,,,,,,,POR,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Supplementary Materials and/or Services,#N/A,0,0,0,0,0,0,0,0,0,,
111392,*,Single Cement Pump - Additional Location Time,0,0,880,0,0,880,0,0,,
111395,#N/A,Twin Cement Pump Additional Location Time,0,0,1025,0,0,1025,0,0,,
