eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,0,Well Name,KIWETINOHK HZ WAHIGAN 6-7-64-23,Business Unit,Canada,,,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,2100,2100,0.79473,POR,#VALUE!,#VALUE!,,
111003,,Pumper Base Charge,1,0,Included,Included,0.79473,5550,5550,,,Yes
111380,#N/A,Pumper Unit Travel,1,200,Included,Included,0.79473,10.3,2060,,,Yes
111382,,Pickup Travel,1,200,Included,Included,0.79473,4.8,960,,,Yes
116026,,Twin Pumping Unit Surcharge,1,0,Included,Included,0.79473,1387.5,1387.5,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,2100,,7007.6,#VALUE!,#VALUE!,#VALUE!,5
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,29.5,0,120,3540,0.76667,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,3540,,0,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush/Spacers,#N/A,0,0,0,0,0,0.63,0,0,0,,
113180,#N/A,Visweep,4,0,260,1040,0.71271,905,3620,2580,,
Cement,#N/A,0,0,0,0,0,0.63,0,0,0,,
113448,#N/A,SURFACEmix LW PRO GP + Additives,29.5,0,500,14750,0.6178047,POR,#VALUE!,#VALUE!,,
113447,#N/A,SURFACEmix LW PRO GP,28.9,0,Included,Included,0.6178047,1155,33379.5,,,Yes
113306,,SCA-6,289,0,Included,Included,0.6178047,8.6,2485.4,,,Yes
113307,,SCA-7,289,0,Included,Included,0.6178047,2.75,794.75,,,Yes
113267,,CDF-6P,58,0,Included,Included,0.6178047,32,1856,,,Yes
Wet Shoe,#N/A,0,0,0,0,0,0,0,0,0,,
Displacement,#N/A,0,0,0,0,0,0,0,0,0,,
Plugs,#N/A,0,0,0,0,0,0,0,0,0,,
116282,,"273.1 mm (10.75"") Rubber PDC Drillable Top Cementing Plug",1,0,345,345,0.61236,890,890,545,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,16135,,2993.35,#VALUE!,#VALUE!,#VALUE!,4
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Miscellaneous Items,,,,,,,,,,
Bundle Category,,Miscellaneous Items,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111488,*,Bulk Storage - Bin Rental,1,,710,710,0,710,710,0,,
112342,*,Pumping Unit - Fuel Surcharge,1,0,200,200,0,200,0,-200,,
112343,*,Handling and Delivery - Fuel Surcharge,29.5,0,2.25,66.38,0,2.25,0,-66.38,,
Supplementary Materials and/or Services,#N/A,0,0,0,0,0,0,0,,,,
111392,*,Single Cement Pump - Additional Location Time,0,0,995,0,0,995,,,,
111395,#N/A,Twin Cement Pump Additional Location Time,0,0,1165,0,0,1165,,,,
111352,*,5 or 6 Axle Bulker - Additional Location Time,0,0,455,0,0,455,,,,
111489,*,Bulk Storage - Bin Cartage,0,0,335,0,0,335,,,,
113248,,LCC-1 Lost Circulation Composite,0,0,3.95,0,0.5,7.9,,,,
113250,,LCF-7 Lost Circulation Fibers,0,0,51.5,0,0.5,103,,,,
113262,,CDF-3L Liquid Cement Defoamer,0,0,37.51,0,0.42292,65,,,,
113264,,DF-4L Anti-foamer (Water),0,0,20.13,0,0.68048,63,,,,
111310,#N/A,WITS (Data Transfer),0,0,250,0,0.64789,710,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,976.38,,4811.15,710,-266.38,-0.3752,0
Template Job Type,,Casing Template #2,,,,,,,,,,
Job Type,,Intermediate Casing,4,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,75087.76,,
Job Type ID,,1505,Depth Base Charge,3440.8,,,Stage / Plug Treatment Information Type,Stage,Execution Order,46,,
,,,Risk Matrix,80,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,4100,4100,0.82337,POR,#VALUE!,#VALUE!,,
111017,,Pumper Base Charge,1,0,Included,Included,0.82337,15900,15900,,,Yes
111380,#N/A,Pumper Unit Travel,1,200,Included,Included,0.82337,10.3,2060,,,Yes
111382,,Pickup Travel,1,200,Included,Included,0.82337,4.8,960,,,Yes
116026,,Twin Pumping Unit Surcharge,1,0,Included,Included,0.82337,3975,3975,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,4100,,19945.1,#VALUE!,#VALUE!,#VALUE!,5
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,75.6,0,120,9072,0.76664,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,9072,,,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush and Spacers,#N/A,0,0,0,0,0,0,0,0,0,,
113182,#N/A,Visweep DM IS + Additives,8,0,1265,10120,0.68329,POR,#VALUE!,#VALUE!,,
113183,#N/A,Visweep DM IS,8,0,Included,Included,0.68329,1030,8240,,,Yes
113233,,Bulk Ground Silica,4739.2,0,Included,Included,0.68329,1.4,6634.88,,,Yes
113193,#N/A,WWS-7P,160,0,Included,Included,0.68329,25.3,4048,,,Yes
113198,,SA-3P,40,0,Included,Included,0.68329,25.5,1020,,,Yes
113191,,MT-1,80,0,Included,Included,0.68329,17.3,1384,,,Yes
113194,,MT-2,64,0,Included,Included,0.68329,9.4,601.6,,,Yes
116253,,FFA-1 Formation Filming Agent,120,0,Included,Included,0.68329,62,7440,,,Yes
113196,,DF-6P,80,0,Included,Included,0.68329,32,2560,,,Yes
Lead Cement,#N/A,0,0,0,0,0,0,0,0,0,,
116466,*,ECOprime + Additives,50.6,0,620,31372,0.73483,POR,#VALUE!,#VALUE!,,
116465,,ECOprime,49.3,0,Included,Included,0.73483,1060,52258,,,Yes
113148,,CFL-12,395,0,Included,Included,0.73483,109.5,43252.5,,,Yes
113127,,MCR-7,99,0,Included,Included,0.73483,9.25,915.75,,,Yes
113140,,FWC-2,493,0,Included,Included,0.73483,13.6,6704.8,,,Yes
113414,,ASM-3,148,0,Included,Included,0.73483,69,10212,,,Yes
113267,,CDF-6P,148,0,Included,Included,0.73483,32,4736,,,Yes
Tail Cement,#N/A,0,0,0,0,0,0,0,0,0,,
113061,#N/A,Thermal 40 + Additives,25.1,0,630,15813,0.67553,POR,#VALUE!,#VALUE!,,
113060,#N/A,Thermal 40,24.31,0,Included,Included,0.67553,845,20541.95,,,Yes
113163,,CFR-5,37,0,Included,Included,0.67553,115,4255,,,Yes
113148,,CFL-12,122,0,Included,Included,0.67553,109.5,13359,,,Yes
113129,,HTR-2,73,0,Included,Included,0.67553,36,2628,,,Yes
113140,,FWC-2,487,0,Included,Included,0.67553,13.6,6623.2,,,Yes
113267,,CDF-6P,37,0,Included,Included,0.67553,32,1184,,,Yes
Wet Shoe,#N/A,0,0,0,0,0,0,0,0,0,,
Displacement,#N/A,0,0,0,0,0,0,0,0,0,,
113264,,DF-4L,82,0,20.13,1650.66,0.68048,63,5166,3515.34,,
Plugs,#N/A,0,,0,0,0,0,0,#VALUE!,#VALUE!,,
116288,,"193.8 mm (7.625"") Rubber PDC Drillable Bottom Cementing Plug",1,0,230,230,0.5818182,550,550,320,,
116279,,"193.8 mm (7.625"") Rubber PDC Drillable Top Cementing Plug",1,0,230,230,0.5818182,550,550,320,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,59415.66,,,#VALUE!,#VALUE!,#VALUE!,20
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Miscellaneous Items,,,,,,,,,,
Bundle Category,,Miscellaneous Items,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111488,*,Bulk Storage - Bin Rental,3,,710,2130,0,710,2130,0,,
112342,*,Pumping Unit - Fuel Surcharge,1,0,200,200,0,200,200,0,,
112343,*,Handling and Delivery - Fuel Surcharge,75.6,0,2.25,170.1,0,2.25,170.1,0,,
Supplementary Materials and/or Services,#N/A,0,0,0,0,0,0,0,0,0,,
111392,*,Single Cement Pump - Additional Location Time,0,0,995,0,0.63,995,0,0,,
111395,#N/A,Twin Cement Pump Additional Location Time,0,0,1165,0,0.63,1165,0,0,,
111352,*,5 or 6 Axle Bulker - Additional Location Time,0,0,455,0,0.63,455,0,0,,
111489,*,Bulk Storage - Bin Cartage,0,0,335,0,0.63,335,0,0,,
113248,,LCC-1 Lost Circulation Composite,0,0,3.95,0,0.5,7.9,0,0,,
113250,,LCF-7 Lost Circulation Fibers,0,0,51.5,0,0.5,103,0,0,,
113262,,CDF-3L Liquid Cement Defoamer,0,0,37.51,0,0.4229231,65,0,0,,
113264,,DF-4L Anti-foamer (Water),0,0,20.13,0,0.6804762,63,0,0,,
111310,#N/A,WITS (Data Transfer),0,0,250,0,0.6478873,710,0,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,0,,710,0,0,0,0
,,,,,,,,,,,,
Template Job Type,,Liner,,,,,,,,,,
Job Type,,Liner Casing,7,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,142657.95,,
Job Type ID,,1507,Depth Base Charge,6000,,,Stage / Plug Treatment Information Type,Stage,Execution Order,51,,
,,,Risk Matrix,117.5,,,# of Stages,1,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,,Pumping Service: Cementing Base Charge (6 hours),2,0,6000,12000,0.97001,POR,#VALUE!,#VALUE!,,
111030,,Pumper Base Charge,2,0,Included,Included,0.97001,77250,77250,,,Yes
111380,,Pumper Unit Travel,2,200,Included,Included,0.97001,10.3,4120,,,Yes
111382,,Pickup Travel,1,200,Included,Included,0.97001,4.8,960,,,Yes
116026,,Twin Pumping Unit Surcharge,2,0,Included,Included,0.97001,19312.5,38625,,,Yes
111493,,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,12000,,96632.6,#VALUE!,#VALUE!,#VALUE!,5
,,,,,,,,,,,,
Bundle Name,,Handling & Delivery,,,,,,,,,,
Bundle Category,,Handling,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
111492,*,Handling and Delivery Service Charge,76.6,0,120,9192,0.76667,POR,#VALUE!,#VALUE!,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total,,,,9192,,,#VALUE!,#VALUE!,#VALUE!,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bundle Name,,Materials,,,,,,,,,,
Bundle Category,,Materials,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,,,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
Preflush/Spacers,,0,0,0,0,0,0,0,,,,
113182,,Visweep DM IS + Additives,15,0,1750,26250,0.72196,POR,#VALUE!,#VALUE!,,
113183,,Visweep DM IS,15,0,Included,Included,0.72196,1030,15450,,,Yes
113230,,Bulk Barite,15765,0,Included,Included,0.72196,2.45,,,,
113193,,WWS-7P,450,0,Included,Included,0.72196,25.3,11385,,,Yes
113198,,SA-3P,75,0,Included,Included,0.72196,25.5,1912.5,,,Yes
113191,,MT-1,300,0,Included,Included,0.72196,17.3,5190,,,Yes
113194,,MT-2,225,0,Included,Included,0.72196,9.4,2115,,,Yes
116253,,FFA-1 Formation Filming Agent,240,0,Included,Included,0.72196,62,14880,,,Yes
113196,,DF-6P,150,0,Included,Included,0.72196,32,4800,,,Yes
Cement,,0,0,0,0,0,0,0,0,0,,
113462,,Thermal 35 + Additives,59.5,0,1245,74077.5,0.59538,POR,#VALUE!,#VALUE!,,
113461,,Thermal 35,52.5,0,Included,Included,0.59538,1050,55125,,,Yes
113163,,CFR-5,79,0,Included,Included,0.59538,115,9085,,,Yes
113134,,CFL-4,263,0,Included,Included,0.59538,109.5,,,,
113142,,HTR-3,525,0,Included,Included,0.59538,86,45150,,,Yes
113143,,HTR-3A,237,0,Included,Included,0.59538,60,14220,,,Yes
113139,,GSS-1,1575,0,Included,Included,0.59538,7.9,12442.5,,,Yes
113229,,WIE-2,4200,0,Included,Included,0.59538,3.5,14700,,,Yes
113267,,CDF-6P,105,0,Included,Included,0.59538,32,3360,,,Yes
Wet Shoe,,0,0,0,0,0,0,0,0,0,,
113180,,Visweep,1.5,0,260,390,0.71271,905,1357.5,967.5,,
113125,,MCR-9L,30,0,10.9,327,0.6,27.25,817.5,490.5,,
113206,,WG-3L,8,0,26,208,0.72043,93,744,536,,
113264,,DF-4L,2,0,20.13,40.26,0.68048,63,126,85.74,,
Displacement,,0,0,0,0,0,0,0,,,,
113180,,Visweep,4,0,260,1040,0.71271,905,,,,
113125,,MCR-9L,80,0,10.9,872,0.6,27.25,2180,1308,,
113206,,WG-3L,20,0,26,520,0.72043,93,1860,1340,,
113264,,DF-4L,4,0,20.13,80.52,0.68048,63,252,171.48,,
113125,,MCR-9L,784,0,10.9,8545.6,0.6,27.25,21364,12818.4,,
113264,,DF-4L,40,0,20.13,805.2,0.68048,63,2520,1714.8,,
113181,,Water Wet Max,4,0,375,1500,0.72325,1355,5420,3920,,
113125,,MCR-9L,80,0,10.9,872,0.6,27.25,2180,1308,,
113206,,WG-3L,40,0,26,1040,0.72043,93,3720,2680,,
113264,,DF-4L,4,0,20.13,80.52,0.68048,63,252,171.48,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
